Bagalkot++0-4 162775
Bagalkot++5-17 463910
Bagalkot++18-29 538444
Bagalkot++30-39 353394
Bagalkot++40-49 267723
Bagalkot++50-59 182051
Bagalkot++60+ 173484
Ballari++0-4 235334
Ballari++5-17 670704
Ballari++18-29 778463
Ballari++30-39 510924
Ballari++40-49 387064
Ballari++50-59 263203
Ballari++60+ 250817
Belgaum++0-4 406958
Belgaum++5-17 1159831
Belgaum++18-29 1346175
Belgaum++30-39 883527
Belgaum++40-49 669339
Belgaum++50-59 455150
Belgaum++60+ 433731
Bengaluru-Rural++0-4 86616
Bengaluru-Rural++5-17 246857
Bengaluru-Rural++18-29 286519
Bengaluru-Rural++30-39 188049
Bengaluru-Rural++40-49 142461
Bengaluru-Rural++50-59 96873
Bengaluru-Rural++60+ 92315
Bidar++0-4 144669
Bidar++5-17 412308
Bidar++18-29 478551
Bidar++30-39 314085
Bidar++40-49 237943
Bidar++50-59 161801
Bidar++60+ 154187
Chamarajanagar++0-4 81782
Chamarajanagar++5-17 233080
Chamarajanagar++18-29 270527
Chamarajanagar++30-39 177554
Chamarajanagar++40-49 134510
Chamarajanagar++50-59 91467
Chamarajanagar++60+ 87162
Chikkaballapur++0-4 103687
Chikkaballapur++5-17 295509
Chikkaballapur++18-29 342987
Chikkaballapur++30-39 225111
Chikkaballapur++40-49 170538
Chikkaballapur++50-59 115966
Chikkaballapur++60+ 110509
Chikmagalur++0-4 86378
Chikmagalur++5-17 246178
Chikmagalur++18-29 285730
Chikmagalur++30-39 187532
Chikmagalur++40-49 142069
Chikmagalur++50-59 96607
Chikmagalur++60+ 92061
Chitradurga++0-4 137043
Chitradurga++5-17 390575
Chitradurga++18-29 453326
Chitradurga++30-39 297529
Chitradurga++40-49 225401
Chitradurga++50-59 153272
Chitradurga++60+ 146059
Dakshina-Kannada++0-4 177473
Dakshina-Kannada++5-17 505800
Dakshina-Kannada++18-29 587065
Dakshina-Kannada++30-39 385305
Dakshina-Kannada++40-49 291897
Dakshina-Kannada++50-59 198490
Dakshina-Kannada++60+ 189149
Davanagere++0-4 159783
Davanagere++5-17 455383
Davanagere++18-29 528547
Davanagere++30-39 346898
Davanagere++40-49 262801
Davanagere++50-59 178705
Davanagere++60+ 170295
Dharwad++0-4 159559
Dharwad++5-17 454744
Dharwad++18-29 527806
Dharwad++30-39 346412
Dharwad++40-49 262433
Dharwad++50-59 178454
Dharwad++60+ 170056
Gadag++0-4 87940
Gadag++5-17 250630
Gadag++18-29 290897
Gadag++30-39 190923
Gadag++40-49 144639
